y,s
1,S01
0,S01
0,S01
0,S01
0,S01
0,S01
0,S01
0,S01
0,S01
0,S01
0,S02
0,S02
0,S02
1,S02
0,S02
0,S02
1,S02
0,S02
0,S02
0,S02
0,S03
0,S03
0,S03
0,S03
0,S03
1,S03
0,S03
0,S03
1,S03
1,S03
0,S04
1,S04
1,S04
0,S04
1,S04
0,S04
0,S04
0,S04
0,S04
0,S04
0,S05
1,S05
0,S05
0,S05
0,S05
1,S05
0,S05
0,S05
1,S05
0,S05
0,S06
0,S06
0,S06
1,S06
1,S06
0,S06
0,S06
0,S06
1,S06
0,S06
0,S07
0,S07
1,S07
0,S07
0,S07
1,S07
1,S07
0,S07
0,S07
0,S07
0,S08
1,S08
1,S08
0,S08
0,S08
1,S08
0,S08
0,S08
0,S08
0,S08
1,S09
0,S09
1,S09
0,S09
0,S09
0,S09
0,S09
0,S09
1,S09
0,S09
0,S10
1,S10
0,S10
0,S10
0,S10
0,S10
1,S10
0,S10
1,S10
0,S10
0,S11
1,S11
0,S11
1,S11
0,S11
0,S11
0,S11
1,S11
1,S11
0,S11
0,S12
1,S12
0,S12
0,S12
0,S12
0,S12
0,S12
1,S12
1,S12
1,S12
1,S13
0,S13
1,S13
1,S13
1,S13
0,S13
0,S13
0,S13
0,S13
0,S13
0,S14
0,S14
0,S14
0,S14
0,S14
0,S14
1,S14
1,S14
1,S14
1,S14
1,S15
0,S15
0,S15
1,S15
0,S15
0,S15
0,S15
1,S15
1,S15
0,S15
0,S16
1,S16
1,S16
1,S16
0,S16
0,S16
0,S16
1,S16
0,S16
1,S16
0,S17
1,S17
1,S17
0,S17
1,S17
0,S17
0,S17
1,S17
0,S17
1,S17
1,S18
1,S18
0,S18
1,S18
1,S18
0,S18
1,S18
0,S18
0,S18
0,S18
1,S19
0,S19
1,S19
1,S19
1,S19
1,S19
0,S19
0,S19
0,S19
0,S19
0,S20
0,S20
1,S20
0,S20
1,S20
1,S20
1,S20
0,S20
0,S20
1,S20
1,S21
0,S21
0,S21
1,S21
1,S21
1,S21
0,S21
0,S21
1,S21
0,S21
0,S22
1,S22
1,S22
0,S22
0,S22
1,S22
0,S22
1,S22
1,S22
0,S22
1,S23
1,S23
1,S23
0,S23
0,S23
0,S23
1,S23
1,S23
1,S23
0,S23
1,S24
0,S24
0,S24
1,S24
1,S24
1,S24
0,S24
0,S24
1,S24
1,S24
1,S25
0,S25
0,S25
1,S25
0,S25
1,S25
1,S25
1,S25
1,S25
1,S25
1,S26
1,S26
1,S26
1,S26
1,S26
0,S26
1,S26
0,S26
0,S26
1,S26
0,S27
0,S27
1,S27
1,S27
1,S27
0,S27
1,S27
1,S27
1,S27
1,S27
1,S28
1,S28
1,S28
1,S28
0,S28
1,S28
1,S28
1,S28
0,S28
1,S28
