"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",171.465891,0.285418028466756,7.01498029529597,157.394525,166.58175,171.6825,176.6485,184.407,604.073949177371,1.00140259607049
"CLHat",5.211297085,0.0117238653959157,0.298330047262428,4.60759275,5.025485,5.231295,5.408575,5.75103925,647.518747060931,1.00843637807509
"QHat",7.61724641,0.0179615175356634,0.614753470390034,6.53623675,7.2096525,7.580545,7.992615,8.93830025,1171.42887501265,1.00112802611734
"V1Hat",22.74946575,0.0661039610025902,2.25949503550454,18.046065,21.306925,22.858,24.26505,27.0739,1168.33615328369,1.00479330705829
"V2Hat",64.1843235,0.203398047579081,7.72107145039397,51.9572825,58.81635,63.3801,68.439525,82.24964,1440.99204470601,1.00405863434373
"kaHat",1.424558415,0.00517139058821949,0.190113592326563,1.07473575,1.29401,1.413735,1.5497025,1.82207775,1351.48632310233,1.00322849681206
"sigma",0.1637938775,0.000213659372506747,0.00955513761910072,0.146776475,0.157062,0.163294,0.170067,0.183380075,2000,1.00110320104437
"omega[1]",0.05352215285,0.00155128252486851,0.0338431681688385,0.0117506275,0.027280875,0.04620445,0.07117795,0.1330053,475.948786160993,1.01020600581405
"omega[2]",0.1314791859,0.0027514343828167,0.0812902852161972,0.01634885,0.0713616,0.1204415,0.17791075,0.32107835,872.888907362515,1.00323009437476
"omega[3]",0.05935847275,0.00263212211456786,0.0466248359119941,0.0119661375,0.026442675,0.04789605,0.075676775,0.1871983,313.778053592531,1.00884058054177
"omega[4]",0.1087256951,0.00236575548725329,0.0754607984564157,0.015522495,0.05228765,0.09637955,0.1484135,0.28267095,1017.42658218866,1.00186327464729
"omega[5]",0.078291941,0.0035169204354364,0.0644652169952563,0.0125861175,0.034136025,0.06251835,0.097187125,0.262979275,335.989581865787,1.0106868364965
