"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",-201.2819624765,10.073369329975,84.1892926399425,-333.7637,-259.0175,-213.4155,-154.38075,8.54890175000005,69.849645565966,1.0439819135597
"CLHat",10.095151655,0.00317109553823965,0.200557691576697,9.71233,9.958235,10.0959,10.230525,10.4834,4000,0.99938863442297
"QHat",14.866805825,0.0137157352471046,0.357190937455053,14.1816425,14.6202,14.8617,15.1062,15.5625225,678.20763771394,1.00690714850832
"V1Hat",34.187659975,0.0665743268247762,1.08935616583582,31.9403925,33.49405,34.2142,34.917875,36.2513025,267.74799315735,1.01613852325781
"V2Hat",103.561581025,0.0758107721821164,2.92466112546602,98.0311125,101.6,103.4545,105.47175,109.583275,1488.2958287578,1.00080911361443
"kaHat",1.93012068,0.0042050782225348,0.0769527576075962,1.77102925,1.880255,1.93287,1.981825,2.0760005,334.888486723953,1.01430637695947
"ke0Hat",1.0503191685,0.0012769632150629,0.0435805864245926,0.966947525,1.0196425,1.05061,1.078445,1.136743,1164.74100691959,1.00027582420125
"EC50Hat",104.337274175,0.0400941088087419,2.1002735719079,100.169,102.90875,104.345,105.768,108.351175,2744.04106218945,0.999748355182899
"sigma",0.0987403356,5.20838421612227e-05,0.00227406812573145,0.094526595,0.0972076,0.09866855,0.1002755,0.10327105,1906.34242804064,1.00188403529212
"sigmaResp",10.15609977,0.00312222792561925,0.197467032382792,9.77942025,10.0229,10.15395,10.285725,10.5523075,4000,0.999868419324005
"omega[1]",0.2698225515,0.000245490804145373,0.0155262017145137,0.241246125,0.25917875,0.269155,0.2800685,0.30190115,4000,1.00106361798362
"omega[2]",0.23111042425,0.000912941568278278,0.0210474463809639,0.1921933,0.216626,0.23015,0.2450385,0.275211325,531.511737712575,1.00648837480424
"omega[3]",0.21868212175,0.00243051137469251,0.0305702054541314,0.158163925,0.198664,0.218384,0.2382005,0.28126565,158.198149550736,1.01699245908587
"omega[4]",0.267028867,0.000999988383593038,0.0261697207255642,0.217642925,0.2492985,0.266009,0.2842325,0.319499625,684.870194223392,1.00148730466848
"omega[5]",0.28490869775,0.00222221462080195,0.0374853176695902,0.2139515,0.2594955,0.284168,0.3088655,0.3608828,284.544627405633,1.00866135506767
"omegaKe0",0.27137351925,0.0032057588244695,0.0472618797724184,0.182827625,0.23880775,0.270928,0.302679,0.362979475,217.350322687536,1.0066006135879
"omegaEC50",0.212865452,0.00059841072056922,0.0206446725439957,0.173903975,0.19870675,0.2126885,0.2265675,0.2552503,1190.19265750119,0.999593905598629
"rho[1,2]",0.19405802571825,0.00317092387801381,0.100312093138563,-0.01149409,0.1272075,0.195182,0.26506875,0.379081025,1000.77155407383,1.00369391367725
"rho[1,3]",-0.1573915809644,0.00483878118167129,0.125967248307976,-0.39461225,-0.24333325,-0.156957,-0.07245445,0.0877057575,677.709102901408,1.00148815957398
"rho[2,3]",0.07946646178065,0.0115797348171572,0.155490305137823,-0.22682565,-0.02441375,0.08212495,0.181053,0.384219275,180.305678234261,1.02122547937333
"rho[1,4]",-0.1065214858507,0.00339189604372507,0.111568725095366,-0.318512775,-0.18296225,-0.10956,-0.031576275,0.118212025,1081.93177104709,1.00182239089599
"rho[2,4]",0.19421439085735,0.00506583835357832,0.126446698019502,-0.0617625125,0.110174,0.199221,0.281656,0.428404125,623.034835987006,1.00652242519694
"rho[3,4]",0.79563223675,0.00761141809442812,0.0938743053933848,0.59207875,0.73669675,0.8076785,0.86665075,0.94010035,152.11159364367,1.03332500131282
"rho[1,5]",0.023393914206025,0.00566591164734167,0.134639831818924,-0.232028625,-0.068282675,0.0242068,0.11534975,0.285277475,564.686655866389,1.00312772080954
"rho[2,5]",0.11897909741545,0.0106550274199063,0.160241704752436,-0.1877864,0.0079053975,0.1175835,0.223883,0.43826865,226.173630791134,1.01404176902675
"rho[3,5]",-0.24628944775875,0.0184988470637849,0.202192178161693,-0.66319375,-0.382078,-0.237145,-0.10539875,0.13287425,119.464639737105,1.02090231598503
"rho[4,5]",-0.288223270388975,0.00933934228976117,0.155030036210051,-0.576167575,-0.39642775,-0.291446,-0.183245,0.0137201975000001,275.549172731543,1.00899924446517
