county_id,GEOID,county,geometry,STATE,Uppm,homes
1,27005,Becker,"POLYGON ((-96.194671 47.151149, -96.06706899999999 47.151813, -95.551186 47.151453, -95.16917199999999 47.152515, -95.16301 46.804719999999996, -95.16371 46.717639999999996, -95.247999 46.716255, -96.174587 46.717853999999996, -96.17410799999999 46.977374999999995, -96.194671 47.151149))",MN,0.892741,3.0
2,27009,Benton,"POLYGON ((-94.353112 45.821967, -93.763948 45.822143, -93.759435 45.559646, -94.149467 45.559066, -94.203666 45.619555999999996, -94.18265099999999 45.67958, -94.271776 45.775208, -94.353112 45.821967))",MN,0.866849,4.0
3,27007,Beltrami,"POLYGON ((-95.60231499999999 48.538886999999995, -95.34254 48.540211, -95.21196599999999 48.539961, -95.21095299999999 48.365970999999995, -94.428702 48.367332999999995, -94.41774699999999 47.93311, -94.418543 47.845816, -94.41627899999999 47.444828, -94.416387 47.411829999999995, -94.670214 47.410151, -94.799934 47.409848, -95.183216 47.412773, -95.193705 47.872544, -95.277834 47.925346, -95.22913299999999 48.019957999999995, -95.582887 48.020557, -95.592287 48.037358999999995, -95.59378799999999 48.172916, -95.60231499999999 48.538886999999995))",MN,0.552472,7.0
4,27097,Morrison,"POLYGON ((-94.65346199999999 46.348678, -94.534724 46.302797, -94.426529 46.332336, -94.341679 46.277705, -94.388922 46.238166, -94.37459199999999 46.157092999999996, -93.810362 46.156585, -93.810321 45.98308, -93.763948 45.822143, -94.353112 45.821967, -94.271776 45.775208, -94.5133 45.77438, -94.64399 45.77395, -94.65346199999999 46.348678))",MN,0.910987,9.0
5,27131,Rice,"POLYGON ((-93.524327 44.543617999999995, -93.357704 44.544005999999996, -93.281521 44.543957, -93.281686 44.471998, -93.039485 44.471871, -93.041159 44.196726, -93.04590999999999 44.196715999999995, -93.162285 44.196568, -93.406565 44.196377, -93.52523099999999 44.196134, -93.524327 44.543617999999995))",MN,1.21306,11.0
6,27161,Waseca,"POLYGON ((-93.767971 44.195836, -93.52523099999999 44.196134, -93.406565 44.196377, -93.40664199999999 43.84812, -93.64828999999999 43.848138999999996, -93.767761 43.847955999999996, -93.767971 44.195836))",MN,1.23666,4.0
7,27013,Blue Earth,"POLYGON ((-94.371731 44.264447999999994, -94.04667099999999 44.154374, -94.01186799999999 44.23952, -93.768031 44.239384, -93.767971 44.195836, -93.767761 43.847955999999996, -94.247123 43.847946, -94.368974 43.848047, -94.36885 44.108698, -94.371731 44.264447999999994))",MN,1.31208,14.0
8,27051,Grant,"POLYGON ((-96.265366 46.10861, -95.76975 46.10745, -95.75850799999999 45.759932, -96.25402199999999 45.75982, -96.253675 45.934647999999996, -96.26614 46.021609999999995, -96.265366 46.10861))",MN,1.47959,0.0
9,27083,Lyon,"POLYGON ((-96.09295 44.630486, -95.604001 44.629945, -95.59481699999999 44.542305, -95.59357 44.19553, -96.063778 44.196425, -96.07858 44.196619999999996, -96.08041 44.54313, -96.09295 44.630486))",MN,1.48399,8.0
10,27117,Pipestone,"POLYGON ((-96.45243585466949 44.1967795400951, -96.4524358245955 44.196801586665, -96.07858 44.196619999999996, -96.063778 44.196425, -96.06461999999999 43.849039, -96.4529095716932 43.8495088526372, -96.45243585466949 44.1967795400951))",MN,1.61382,4.0
