 state, state2, stfips, zip, region, typebldg, floor, room, basement, windoor, rep, stratum, wave, starttm, stoptm, startdt, stopdt, activity, pcterr, adjwt, dupflag, zipflag, cntyfips, county
R5,MI,26,48858, 1,0,1,0,Y, , ., 5,  .,1530,1545,030388,031088,     1.3,    20.9,     4.561508,0,0, 73,SAGINAW CHIPPEWA    
R5,MI,26,48858, 1,1,0,4,Y, , ., 5,  .,1005,1209,031088,031288,     0.9,    21.3,     4.561508,0,0, 73,SAGINAW CHIPPEWA    
R5,MI,26,48858, 1,1,0,4,Y, , ., 5,  .,1045,1145,031088,031288,     1.1,    16.3,     4.561508,0,0, 73,SAGINAW CHIPPEWA    
R5,MI,26,48858, 1,1,0,4,Y, , ., 5,  .,1135,1140,030388,031188,     2.0,    14.7,     4.561508,0,0, 73,SAGINAW CHIPPEWA    
R5,MI,26,48858, 1,1,0,4,Y, , ., 5,  .,1400,1455,030388,031188,     2.6,    10.1,     4.561508,0,0, 73,SAGINAW CHIPPEWA    
R5,MI,26,48858, 1,1,0,4,Y, , ., 5,  .,1430,1500,030388,031188,     1.1,    19.6,     4.561508,0,0, 73,SAGINAW CHIPPEWA    
R5,MI,26,48858, 1,1,1,0,N, , ., 5,  .,1115,1115,031088,031288,     1.8,    12.7,     4.561508,0,0, 73,SAGINAW CHIPPEWA    
R5,MI,26,48858, 1,1,1,1,N, , ., 5,  .,0900,0900,030388,031188,     2.7,    10.7,     4.561508,0,0, 73,SAGINAW CHIPPEWA    
R5,MI,26,48858, 1,1,1,1,N, , ., 5,  .,0900,0900,030388,031188,     5.4,     6.2,     4.561508,0,0, 73,SAGINAW CHIPPEWA    
R5,MI,26,48858, 1,1,1,1,N, , ., 5,  .,1000,1030,030388,031188,     3.3,     8.3,     4.561508,0,0, 73,SAGINAW CHIPPEWA    
R5,MI,26,48858, 1,1,1,1,N, , ., 5,  .,1030,1137,030388,031188,     0.2,     0.0,     4.561508,0,0, 73,SAGINAW CHIPPEWA    
R5,MI,26,48858, 1,1,1,1,N, , ., 5,  .,1100,1100,030388,031188,     2.3,     9.4,     4.561508,0,0, 73,SAGINAW CHIPPEWA    
