"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"Aglais.urticae",0,0,1,0,1,2,1,0,1,1,2,0,3,2,1,1,1,0,2,0
"Aphantopus.hyperantus",14,10,13,15,3,9,7,17,1,11,11,15,15,6,0,10,15,5,11,6
"Argynnis.paphia",0,0,2,4,1,1,0,5,0,0,0,2,2,0,0,0,1,3,1,1
"Aricia.artaxerxes",0,1,0,4,0,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0
"Aricia.eumedon",0,3,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Brenthis.ino",0,1,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0
"Clossiana.selene",11,5,11,15,6,8,6,12,0,4,12,9,8,0,0,2,5,5,1,2
"Coenonympha.arcania",12,14,9,11,6,11,10,14,2,9,11,13,13,5,2,13,15,10,7,4
"Coenonympa.pamphilus",3,4,3,1,4,3,3,1,5,2,4,6,9,8,1,7,7,2,2,0
"Polyommatus.semiargus",8,2,5,3,1,3,0,5,0,4,7,6,10,4,0,6,5,3,2,1
"Erebia.ligea",6,5,6,6,3,8,8,9,0,1,1,5,6,1,0,0,0,5,0,8
"Argynnis.adippe",9,4,5,8,6,8,5,9,0,4,3,8,9,0,0,2,3,7,0,0
"Gonepteryx.rhamni",1,0,0,2,0,2,0,1,1,0,0,0,2,0,0,1,2,0,1,0
"Issora.lathonia",0,0,0,2,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
"Lasiommata.maera",8,3,1,3,0,3,5,4,0,0,1,1,2,0,0,0,0,1,1,2
"Lasiommata.petropolitana",0,1,0,1,0,2,1,2,0,0,1,2,2,0,0,0,0,1,0,2
"Lycaena.hippothoe",1,2,1,2,0,0,0,3,0,2,1,1,4,0,0,1,0,1,0,0
"Lycaena.phlaeas",2,0,0,0,0,0,0,1,0,0,2,0,2,4,0,1,1,0,0,0
"Lycaena.virgaureae",2,2,5,1,2,0,0,8,4,1,3,11,2,3,0,3,4,0,0,0
"Melitaea.athalia",3,0,1,4,2,1,1,5,0,1,2,1,4,1,0,0,1,0,0,0
"Ochlodes.sylvanus",3,4,4,5,0,1,1,7,1,1,0,6,5,4,0,1,5,1,0,2
"Pieris.brassicae",1,1,2,0,1,2,0,2,1,5,2,1,3,3,0,7,1,0,5,2
"Pieris.napae",7,2,9,4,5,3,0,7,0,13,4,3,9,7,2,13,1,8,12,8
"Pieris.rapae",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plebejus.argus",0,0,1,1,0,0,0,0,0,1,1,0,3,0,0,2,0,0,0,0
"Polyommatus.amandus",9,8,8,9,5,9,7,12,0,8,8,10,11,5,1,11,11,7,3,4
"Polyommatus.icarus",4,4,2,0,1,2,2,3,0,1,4,1,4,2,0,4,1,4,0,0
"Thymelicus.lineola",1,4,3,8,3,2,0,7,2,3,9,3,9,4,1,7,11,2,1,0
