Country,ISO3c,Year,Project,Item,ItemCnt,Sample,Response,RespN
Afghanistan,AFG,2005,asb,Army_asb,Army_asb_Afghanistan,874,0.330663616,289
Afghanistan,AFG,2005,asb,EvDemoc_asb,EvDemoc_asb_Afghanistan,874,0.78604119,687
Afghanistan,AFG,2005,asb,Strong_asb,Strong_asb_Afghanistan,874,0.284897025,249
Albania,ALB,1998,wvs,Church_wvs,Church_wvs_Albania,999,0.887,886
Albania,ALB,1998,wvs,EvDemoc_wvs,EvDemoc_wvs_Albania,999,0.943,942
Albania,ALB,2002,wvs,Army_wvs,Army_wvs_Albania,1000,0.803,803
Albania,ALB,2002,wvs,Church_wvs,Church_wvs_Albania,1000,0.889,889
Albania,ALB,2002,wvs,EvDemoc_wvs,EvDemoc_wvs_Albania,1000,0.917,917
Albania,ALB,2002,wvs,Strong_wvs,Strong_wvs_Albania,1000,0.748,748
Albania,ALB,2005,cses,Church_cses,Church_cses_Albania,1116,0.919,1026
Albania,ALB,2008,evs,Army_evs,Army_evs_Albania,1534,0.669230769,1027
Albania,ALB,2008,evs,Church_evs,Church_evs_Albania,1534,0.841590613,1291
Albania,ALB,2008,evs,EvDemoc_evs,EvDemoc_evs_Albania,1534,0.798174707,1224
Albania,ALB,2008,evs,Strong_evs,Strong_evs_Albania,1534,0.523794003,804
Albania,ALB,2012,ess,ImpDemoc_ess,ImpDemoc_ess_Albania,1183,0.88,1041
Albania,ALB,2018,evs,Army_evs,Army_evs_Albania,1435,0.812481048,1166
Albania,ALB,2018,evs,Church_evs,Church_evs_Albania,1435,0.980275285,1407
Albania,ALB,2018,evs,EvDemoc_evs,EvDemoc_evs_Albania,1435,0.980275285,1407
Albania,ALB,2018,evs,ImpDemoc_evs,ImpDemoc_evs_Albania,1435,0.976954265,1402
Albania,ALB,2018,evs,Strong_evs,Strong_evs_Albania,1435,0.761264175,1092
Algeria,DZA,2002,wvs,Army_wvs,Army_wvs_Algeria,1282,0.712287712,913
Algeria,DZA,2002,wvs,Church_wvs,Church_wvs_Algeria,1282,0.744255744,954
Algeria,DZA,2002,wvs,EvDemoc_wvs,EvDemoc_wvs_Algeria,1282,0.824824825,1057
Algeria,DZA,2002,wvs,Strong_wvs,Strong_wvs_Algeria,1282,0.53953954,692
Algeria,DZA,2006,arb,Church_arb,Church_arb_Algeria,1300,0.69,897
Algeria,DZA,2006,arb,DemocSuit_arb,DemocSuit_arb_Algeria,1300,0.376923077,490
Algeria,DZA,2006,arb,EvDemoc_arb,EvDemoc_arb_Algeria,1300,0.691538462,899
Algeria,DZA,2006,arb,Strong_arb_2,Strong_arb_2_Algeria,1300,0.747692308,972
Algeria,DZA,2011,arb,Church_arb,Church_arb_Algeria,1216,0.661184211,804
Algeria,DZA,2011,arb,DemocSuit_arb,DemocSuit_arb_Algeria,1216,0.453125,551
Algeria,DZA,2011,arb,EvDemoc_arb,EvDemoc_arb_Algeria,1216,0.772203947,939
Algeria,DZA,2011,arb,Strong_arb_1,Strong_arb_1_Algeria,1216,0.633223684,770
Algeria,DZA,2013,afb,Army_afrob,Army_afrob_Algeria,1204,0.496,597
Algeria,DZA,2013,afb,Party_afrob,Party_afrob_Algeria,1204,0.711288711,856
Algeria,DZA,2013,afb,Strong_afrob,Strong_afrob_Algeria,1204,0.545454545,657
Algeria,DZA,2013,afb,ThreeState_afrob,ThreeState_afrob_Algeria,1204,0.514,619
Algeria,DZA,2013,arb,Church_arb,Church_arb_Algeria,1220,0.694262295,847
Algeria,DZA,2013,arb,DemocSuit_arb,DemocSuit_arb_Algeria,1220,0.689344262,841
Algeria,DZA,2013,arb,EvDemoc_arb,EvDemoc_arb_Algeria,1220,0.936065574,1142
Algeria,DZA,2013,arb,Strong_arb_1,Strong_arb_1_Algeria,1220,0.767213115,936
Algeria,DZA,2014,wvs,Army_wvs,Army_wvs_Algeria,1200,0.561,673
Algeria,DZA,2014,wvs,EvDemoc_wvs,EvDemoc_wvs_Algeria,1200,0.789,947
Algeria,DZA,2014,wvs,ImpDemoc_wvs,ImpDemoc_wvs_Algeria,1200,0.785785786,943
Algeria,DZA,2014,wvs,Strong_wvs,Strong_wvs_Algeria,1200,0.613,736
Algeria,DZA,2015,afb,Army_afrob,Army_afrob_Algeria,1200,0.536666667,644
Algeria,DZA,2015,afb,Party_afrob,Party_afrob_Algeria,1200,0.640833333,769
Algeria,DZA,2015,afb,Strong_afrob,Strong_afrob_Algeria,1200,0.565,678
Algeria,DZA,2015,afb,ThreeState_afrob,ThreeState_afrob_Algeria,1200,0.456666667,548
Algeria,DZA,2016,arb,Church_arb,Church_arb_Algeria,1200,0.735335,882
Algeria,DZA,2016,arb,DemocSuit_arb,DemocSuit_arb_Algeria,1200,0.4285121,514
Algeria,DZA,2016,arb,ThreeState_arb,ThreeState_arb_Algeria,1200,0.3669643,440
Algeria,DZA,2019,arb,Church_arb,Church_arb_Algeria,2332,0.692047476,1614
Algeria,DZA,2019,arb,DemocSuit_arb,DemocSuit_arb_Algeria,2332,0.536383254,1251
Algeria,DZA,2019,arb,ThreeState_arb,ThreeState_arb_Algeria,2332,0.414004398,965
Andorra,AND,2005,wvs,Army_wvs,Army_wvs_Andorra,1003,0.958083832,961
Andorra,AND,2005,wvs,EvDemoc_wvs,EvDemoc_wvs_Andorra,1003,0.945945946,949
Andorra,AND,2005,wvs,ImpDemoc_wvs,ImpDemoc_wvs_Andorra,1003,0.938,941
Andorra,AND,2005,wvs,Strong_wvs,Strong_wvs_Andorra,1003,0.875124875,878
Andorra,AND,2018,wvs,Army_wvs,Army_wvs_Andorra,1004,0.921314741,925
Andorra,AND,2018,wvs,EvDemoc_wvs,EvDemoc_wvs_Andorra,1004,0.960159363,964
Andorra,AND,2018,wvs,ImpDemoc_wvs,ImpDemoc_wvs_Andorra,1004,0.961155378,965
Andorra,AND,2018,wvs,Relig_wvs,Relig_wvs_Andorra,1004,0.943227092,947
Andorra,AND,2018,wvs,Strong_wvs,Strong_wvs_Andorra,1004,0.767928287,771
Antigua,ATG,2016,lapop,Church_lapop,Church_lapop_Antigua,1002,0.595808383,597
Argentina,ARG,1995,lb,ThreeState_lb,ThreeState_lb_Argentina,1200,0.755,906
Argentina,ARG,1995,wvs,Army_wvs,Army_wvs_Argentina,1200,0.806,967
Argentina,ARG,1995,wvs,Church_wvs,Church_wvs_Argentina,1200,0.875,1050
Argentina,ARG,1995,wvs,EvDemoc_wvs,EvDemoc_wvs_Argentina,1200,0.899,1079
Argentina,ARG,1995,wvs,Strong_wvs,Strong_wvs_Argentina,1200,0.643356643,772
Argentina,ARG,1996,lb,ThreeState_lb,ThreeState_lb_Argentina,1199,0.711288711,853
Argentina,ARG,1997,lb,ThreeState_lb,ThreeState_lb_Argentina,1196,0.747,893
Argentina,ARG,1998,lb,ThreeState_lb,ThreeState_lb_Argentina,1200,0.728,874
Argentina,ARG,1999,wvs,Army_wvs,Army_wvs_Argentina,1280,0.732732733,938
Argentina,ARG,1999,wvs,Church_wvs,Church_wvs_Argentina,1280,0.852,1091
Argentina,ARG,1999,wvs,EvDemoc_wvs,EvDemoc_wvs_Argentina,1280,0.848,1085
Argentina,ARG,1999,wvs,Strong_wvs,Strong_wvs_Argentina,1280,0.505,646
